Number of distinct districts = 664

DISTRICT,NUMBER OF SUB DISTRICTS

Adilabad,41
Agra,6
Ahmadnagar,14
Ahmedabad,9
Aizawl,5
Ajmer,8
Akola,7
Alappuzha,6
Aligarh,5
Alirajpur,2
Allahabad,8
Almora,7
Alwar,12
Ambala,3
Ambedkar Nagar,4
Amethi,4
Amravati,14
Amreli,11
Amritsar,4
Amroha,3
Anand,8
Ananthapuramu,61
Anantnag,4
Angul,19
Anjaw,2
Anuppur,4
Araria,9
Ariyalur,3
Arvalli,6
Arwal,4
Ashok Nagar,4
Auraiya,2
Aurangabad,19
Azamgarh,6
Bagalkot,8
Bageshwar,4
Baghpat,3
Bahraich,4
Baksa,4
Balaghat,6
Balangir,12
Baleswar,17
Ballari,7
Ballia,6
Balod,5
Baloda Bazar,6
Balrampur,7
Banaskantha,13
Banda,4
Bandipore,2
Bangalore Rural,4
Banka,10
Bankura,23
Banswara,4
Bara Banki,6
Baramula,6
Baran,7
Barddhaman,35
Bareilly,6
Bargarh,15
Barmer,8
Barnala,1
Barpeta,7
Barwani,6
Bastar,6
Basti,3
Bathinda,3
Beed,11
Begusarai,19
Belagavi,12
Bemetara,5
Bengaluru,4
Betul,5
Bhadrak,11
Bhagalpur,17
Bhandara,7
Bharatpur,10
Bharuch,8
Bhavnagar,10
Bhilwara,12
Bhind,7
Bhiwani,6
Bhojpur,14
Bhopal,2
Bidar,5
Bijapur,3
Bijnor,5
Bikaner,8
Bilaspur,16
Birbhum,22
Bishnupur,3
Bokaro,10
Bongaigaon,3
Botad,4
Boudh,6
Budaun,4
Budgam,2
Bulandshahr,7
Buldhana,13
Bundi,5
Burhanpur,2
Buxar,12
Cachar,7
Central Delhi,3
Chamba,12
Chamoli,6
Champawat,2
Champhai,6
Chamrajanagar,4
Chandauli,2
Chandel,3
Chandigarh,1
Chandrapur,14
Changlang,4
Chatra,9
Chennai,1
Chhatarpur,7
Chhindwara,9
Chhotaudepur,6
Chikkaballapur,9
Chikkamagaluru,7
Chirang,3
Chitradurga,6
Chitrakoot,2
Chittoor,61
Chittorgarh,11
Churachandpur,2
Churu,6
Coimbatore,10
Cooch Behar,16
Cuddalore,8
Cuddapah,42
Cuttack,18
Dadra and Nagar Haveli,3
Dahod,7
Dakshin Bastar Dantewada,4
Dakshin Dinajpur,8
Dakshina Kannada,7
Daman,1
Damoh,7
Dantewada,1
Darbhanga,17
Darjeeling,14
Darrang,3
Datia,3
Dausa,5
Davangere,7
Debagarh,4
Dehradun,5
Deoghar,8
Deoria,4
Devbhumi Dwarka,4
Dewas,6
Dhalai,5
Dhamtari,4
Dhanbad,9
Dhar,7
Dharmapuri,5
Dharwad,5
Dhemaji,5
Dhenkanal,10
Dholpur,5
Dhubri,8
Dhule,4
Dibrugarh,8
Dimapur,6
Dindigul,9
Dindori,2
Diu,1
Doda,4
Dumka,10
Dungarpur,4
Durg,6
East Champaran,27
East Delhi,3
East Garo Hills,3
East Godavari,56
East Kameng,5
East Khasi Hills,5
East Siang,4
East Sikkim,4
East Singhbhum,12
Ernakulam,8
Erode,6
Etah,2
Etawah,5
Faizabad,5
Faridabad,2
Faridkot,2
Farrukhabad,2
Fatehabad,3
Fatehgarh Sahib,4
Fatehpur,3
Fazilka,3
Ferozepur,3
Firozabad,4
Gadag,5
Gadchiroli,10
Gajapati,8
Ganderbal,2
Gandhinagar,4
Ganganagar,9
Ganjam,22
Garhwa,14
Gariyaband,6
Gautam Buddha Nagar,4
Gaya,26
Ghaziabad,2
Ghazipur,4
Gir Somnath,6
Giridih,13
